index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",5276556,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/0.png
1,1,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",11668935,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/1.png
2,2,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",4354979,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/2.png
3,3,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9342033,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/3.png
4,4,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9208161,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/4.png
5,5,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",7085163,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/5.png
6,6,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",8254111,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/6.png
7,7,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",16574295,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/7.png
8,8,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",13898629,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/8.png
9,9,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",6064016,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/9.png
10,10,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",7793557,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/10.png
11,11,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",15169114,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/11.png
12,12,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",10681085,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/12.png
13,13,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",13877206,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/13.png
14,14,,,"## Image description:
The image shows 14 handwritten digits. The first 7 digits on the top represents a 7-digit number, and the second 7 digits on the bottom represents another 7-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",14309316,/home/jovyan/workspace/datasets/MNMath_Add_7digit/test/14.png
